condition,max_concurrency,repetition,effective_seed,off_result_file,on_result_file,off_output_count,on_output_count,positional_matches,positional_match_percent,multiset_matches,multiset_match_percent,exact_positional_match,exact_multiset_match
capacity_reuse90_p1792,8,1,20310821,/home/user/projects/QwenServe-12G/artifacts/results/e04_prefix/off_capacity/e04_off_capacity_reuse90_p1792_c8/e04_off_capacity_reuse90_p1792_c8-infqps-concurrency8-Qwen2.5-3B-Instruct-20260821-023229.json,/home/user/projects/QwenServe-12G/artifacts/results/e04_prefix/on_capacity/e04_on_capacity_reuse90_p1792_c8/e04_on_capacity_reuse90_p1792_c8-infqps-concurrency8-Qwen2.5-3B-Instruct-20260821-015309.json,100,100,87,87.0,88,88.0,False,False
capacity_reuse90_p1792,8,2,20310921,/home/user/projects/QwenServe-12G/artifacts/results/e04_prefix/off_capacity/e04_off_capacity_reuse90_p1792_c8/e04_off_capacity_reuse90_p1792_c8-infqps-concurrency8-Qwen2.5-3B-Instruct-20260821-023420.json,/home/user/projects/QwenServe-12G/artifacts/results/e04_prefix/on_capacity/e04_on_capacity_reuse90_p1792_c8/e04_on_capacity_reuse90_p1792_c8-infqps-concurrency8-Qwen2.5-3B-Instruct-20260821-015445.json,100,100,89,89.0,89,89.0,False,False
capacity_reuse90_p1792,8,3,20311021,/home/user/projects/QwenServe-12G/artifacts/results/e04_prefix/off_capacity/e04_off_capacity_reuse90_p1792_c8/e04_off_capacity_reuse90_p1792_c8-infqps-concurrency8-Qwen2.5-3B-Instruct-20260821-023612.json,/home/user/projects/QwenServe-12G/artifacts/results/e04_prefix/on_capacity/e04_on_capacity_reuse90_p1792_c8/e04_on_capacity_reuse90_p1792_c8-infqps-concurrency8-Qwen2.5-3B-Instruct-20260821-015620.json,100,100,80,80.0,81,81.0,False,False
reuse0_p1024,4,1,20260821,/home/user/projects/QwenServe-12G/artifacts/results/e04_prefix/off/e04_off_reuse0_p1024_c4/e04_off_reuse0_p1024_c4-infqps-concurrency4-Qwen2.5-3B-Instruct-20260821-020303.json,/home/user/projects/QwenServe-12G/artifacts/results/e04_prefix/on/e04_on_reuse0_p1024_c4/e04_on_reuse0_p1024_c4-infqps-concurrency4-Qwen2.5-3B-Instruct-20260821-012502.json,100,100,88,88.0,88,88.0,False,False
reuse0_p1024,4,2,20260921,/home/user/projects/QwenServe-12G/artifacts/results/e04_prefix/off/e04_off_reuse0_p1024_c4/e04_off_reuse0_p1024_c4-infqps-concurrency4-Qwen2.5-3B-Instruct-20260821-020531.json,/home/user/projects/QwenServe-12G/artifacts/results/e04_prefix/on/e04_on_reuse0_p1024_c4/e04_on_reuse0_p1024_c4-infqps-concurrency4-Qwen2.5-3B-Instruct-20260821-012730.json,100,100,98,98.0,98,98.0,False,False
reuse0_p1024,4,3,20261021,/home/user/projects/QwenServe-12G/artifacts/results/e04_prefix/off/e04_off_reuse0_p1024_c4/e04_off_reuse0_p1024_c4-infqps-concurrency4-Qwen2.5-3B-Instruct-20260821-020759.json,/home/user/projects/QwenServe-12G/artifacts/results/e04_prefix/on/e04_on_reuse0_p1024_c4/e04_on_reuse0_p1024_c4-infqps-concurrency4-Qwen2.5-3B-Instruct-20260821-012958.json,100,100,100,100.0,100,100.0,True,True
reuse50_p1024,4,1,20270821,/home/user/projects/QwenServe-12G/artifacts/results/e04_prefix/off/e04_off_reuse50_p1024_c4/e04_off_reuse50_p1024_c4-infqps-concurrency4-Qwen2.5-3B-Instruct-20260821-021041.json,/home/user/projects/QwenServe-12G/artifacts/results/e04_prefix/on/e04_on_reuse50_p1024_c4/e04_on_reuse50_p1024_c4-infqps-concurrency4-Qwen2.5-3B-Instruct-20260821-013237.json,100,100,95,95.0,95,95.0,False,False
reuse50_p1024,4,2,20270921,/home/user/projects/QwenServe-12G/artifacts/results/e04_prefix/off/e04_off_reuse50_p1024_c4/e04_off_reuse50_p1024_c4-infqps-concurrency4-Qwen2.5-3B-Instruct-20260821-021309.json,/home/user/projects/QwenServe-12G/artifacts/results/e04_prefix/on/e04_on_reuse50_p1024_c4/e04_on_reuse50_p1024_c4-infqps-concurrency4-Qwen2.5-3B-Instruct-20260821-013501.json,100,100,96,96.0,96,96.0,False,False
reuse50_p1024,4,3,20271021,/home/user/projects/QwenServe-12G/artifacts/results/e04_prefix/off/e04_off_reuse50_p1024_c4/e04_off_reuse50_p1024_c4-infqps-concurrency4-Qwen2.5-3B-Instruct-20260821-021537.json,/home/user/projects/QwenServe-12G/artifacts/results/e04_prefix/on/e04_on_reuse50_p1024_c4/e04_on_reuse50_p1024_c4-infqps-concurrency4-Qwen2.5-3B-Instruct-20260821-013725.json,100,100,91,91.0,91,91.0,False,False
reuse90_p1024,4,1,20280821,/home/user/projects/QwenServe-12G/artifacts/results/e04_prefix/off/e04_off_reuse90_p1024_c4/e04_off_reuse90_p1024_c4-infqps-concurrency4-Qwen2.5-3B-Instruct-20260821-010754.json,/home/user/projects/QwenServe-12G/artifacts/results/e04_prefix/on/e04_on_reuse90_p1024_c4/e04_on_reuse90_p1024_c4-infqps-concurrency4-Qwen2.5-3B-Instruct-20260821-011722.json,100,100,91,91.0,91,91.0,False,False
reuse90_p1024,4,2,20280921,/home/user/projects/QwenServe-12G/artifacts/results/e04_prefix/off/e04_off_reuse90_p1024_c4/e04_off_reuse90_p1024_c4-infqps-concurrency4-Qwen2.5-3B-Instruct-20260821-011022.json,/home/user/projects/QwenServe-12G/artifacts/results/e04_prefix/on/e04_on_reuse90_p1024_c4/e04_on_reuse90_p1024_c4-infqps-concurrency4-Qwen2.5-3B-Instruct-20260821-011942.json,100,100,84,84.0,84,84.0,False,False
reuse90_p1024,4,3,20281021,/home/user/projects/QwenServe-12G/artifacts/results/e04_prefix/off/e04_off_reuse90_p1024_c4/e04_off_reuse90_p1024_c4-infqps-concurrency4-Qwen2.5-3B-Instruct-20260821-011250.json,/home/user/projects/QwenServe-12G/artifacts/results/e04_prefix/on/e04_on_reuse90_p1024_c4/e04_on_reuse90_p1024_c4-infqps-concurrency4-Qwen2.5-3B-Instruct-20260821-012201.json,100,100,89,89.0,90,90.0,False,False
reuse90_p1792,4,1,20300821,/home/user/projects/QwenServe-12G/artifacts/results/e04_prefix/off/e04_off_reuse90_p1792_c4/e04_off_reuse90_p1792_c4-infqps-concurrency4-Qwen2.5-3B-Instruct-20260821-022557.json,/home/user/projects/QwenServe-12G/artifacts/results/e04_prefix/on/e04_on_reuse90_p1792_c4/e04_on_reuse90_p1792_c4-infqps-concurrency4-Qwen2.5-3B-Instruct-20260821-014723.json,100,100,90,90.0,90,90.0,False,False
reuse90_p1792,4,2,20300921,/home/user/projects/QwenServe-12G/artifacts/results/e04_prefix/off/e04_off_reuse90_p1792_c4/e04_off_reuse90_p1792_c4-infqps-concurrency4-Qwen2.5-3B-Instruct-20260821-022824.json,/home/user/projects/QwenServe-12G/artifacts/results/e04_prefix/on/e04_on_reuse90_p1792_c4/e04_on_reuse90_p1792_c4-infqps-concurrency4-Qwen2.5-3B-Instruct-20260821-014936.json,100,100,92,92.0,92,92.0,False,False
reuse90_p1792,4,3,20301021,/home/user/projects/QwenServe-12G/artifacts/results/e04_prefix/off/e04_off_reuse90_p1792_c4/e04_off_reuse90_p1792_c4-infqps-concurrency4-Qwen2.5-3B-Instruct-20260821-023052.json,/home/user/projects/QwenServe-12G/artifacts/results/e04_prefix/on/e04_on_reuse90_p1792_c4/e04_on_reuse90_p1792_c4-infqps-concurrency4-Qwen2.5-3B-Instruct-20260821-015148.json,100,100,89,89.0,89,89.0,False,False
reuse90_p256,4,1,20290821,/home/user/projects/QwenServe-12G/artifacts/results/e04_prefix/off/e04_off_reuse90_p256_c4/e04_off_reuse90_p256_c4-infqps-concurrency4-Qwen2.5-3B-Instruct-20260821-021819.json,/home/user/projects/QwenServe-12G/artifacts/results/e04_prefix/on/e04_on_reuse90_p256_c4/e04_on_reuse90_p256_c4-infqps-concurrency4-Qwen2.5-3B-Instruct-20260821-014005.json,100,100,93,93.0,93,93.0,False,False
reuse90_p256,4,2,20290921,/home/user/projects/QwenServe-12G/artifacts/results/e04_prefix/off/e04_off_reuse90_p256_c4/e04_off_reuse90_p256_c4-infqps-concurrency4-Qwen2.5-3B-Instruct-20260821-022047.json,/home/user/projects/QwenServe-12G/artifacts/results/e04_prefix/on/e04_on_reuse90_p256_c4/e04_on_reuse90_p256_c4-infqps-concurrency4-Qwen2.5-3B-Instruct-20260821-014231.json,100,100,91,91.0,91,91.0,False,False
reuse90_p256,4,3,20291021,/home/user/projects/QwenServe-12G/artifacts/results/e04_prefix/off/e04_off_reuse90_p256_c4/e04_off_reuse90_p256_c4-infqps-concurrency4-Qwen2.5-3B-Instruct-20260821-022315.json,/home/user/projects/QwenServe-12G/artifacts/results/e04_prefix/on/e04_on_reuse90_p256_c4/e04_on_reuse90_p256_c4-infqps-concurrency4-Qwen2.5-3B-Instruct-20260821-014457.json,100,100,93,93.0,93,93.0,False,False
